Company,Year,Revenue,Broker,Broker_fee,Broker_fee_percentage,D&O Limit,E&O Limit,Price
1065,1/1/2016,11308185,Broker A,5500,0.1,1000000,250000,60500
1072,1/1/2016,12048366,Broker A,6379,0.1,1000000,250000,70175
1085,1/1/2016,11473520,Broker A,5923,0.1,1000000,250000,65158
1116,1/1/2016,21704583,Broker A,9563,0.1,2000000,1000000,105201
1121,1/1/2016,7971804,Broker A,4000,0.1,500000,100000,44000
1133,1/1/2016,6111576,Broker A,4996,0.1,500000,100000,54966
1134,1/1/2016,14727033,Broker A,5500,0.1,1000000,250000,60500
1150,1/1/2016,18314686,Broker A,7081,0.1,1500000,500000,77895
1158,1/1/2016,13721947,Broker A,5320,0.1,1000000,250000,58520
1159,1/1/2016,10722281,Broker A,5500,0.1,1000000,250000,60500
1170,1/1/2016,5333768,Broker A,4308,0.1,500000,100000,47388
1173,1/1/2016,12694893,Broker A,5500,0.1,1000000,250000,60500
1184,1/1/2016,12918078,Broker A,5500,0.1,1000000,250000,60500
1189,1/1/2016,6467052,Broker A,4308,0.1,500000,100000,47388
1191,1/1/2016,23454934,Broker A,10966,0.1,2000000,1000000,120627
1197,1/1/2016,3773142,Broker A,4000,0.1,500000,100000,44000
1199,1/1/2016,28319850,Broker A,10300,0.1,2000000,1000000,113301
1208,1/1/2016,16322563,Broker A,8616,0.1,1500000,500000,94776
1215,1/1/2016,5787622,Broker A,4000,0.1,500000,100000,44000
1217,1/1/2016,4041880,Broker A,4000,0.1,500000,100000,44000
1224,1/1/2016,11196434,Broker A,6379,0.1,1000000,250000,70175
1226,1/1/2016,4367881,Broker A,4308,0.1,500000,100000,47388
1229,1/1/2016,14137963,Broker A,5923,0.1,1000000,250000,65158
1233,1/1/2016,16896430,Broker A,6105,0.1,1500000,500000,67155
1235,1/1/2016,5879912,Broker A,4308,0.1,500000,100000,47388
1246,1/1/2016,7471834,Broker A,4996,0.1,500000,100000,54966
1248,1/1/2016,3611886,Broker A,4000,0.1,500000,100000,44000
1263,1/1/2016,20876210,Broker A,9563,0.1,2000000,1000000,105201
1271,1/1/2016,6972434,Broker A,4000,0.1,500000,100000,44000
1285,1/1/2016,3060940,Broker A,4996,0.1,500000,100000,54966
1288,1/1/2016,15947298,Broker A,8000,0.1,1500000,500000,88000
1332,1/1/2016,3560081,Broker A,4308,0.1,500000,100000,47388
1334,1/1/2016,14994515,Broker A,5923,0.1,1000000,250000,65158
1366,1/1/2016,17489336,Broker A,8000,0.1,1500000,500000,88000
1371,1/1/2016,5418195,Broker A,5150,0.1,500000,100000,56650
1374,1/1/2016,13405888,Broker A,5500,0.1,1000000,250000,60500
1387,1/1/2016,10709172,Broker A,5923,0.1,1000000,250000,65158
1397,1/1/2016,5495594,Broker A,5150,0.1,500000,100000,56650
1400,1/1/2016,17480077,Broker A,8000,0.1,1500000,500000,88000
1409,1/1/2016,2614324,Broker A,4996,0.1,500000,100000,54966
1421,1/1/2016,8965827,Broker A,4996,0.1,500000,100000,54966
1428,1/1/2016,10769228,Broker A,5500,0.1,1000000,250000,60500
1435,1/1/2016,13668497,Broker A,7081,0.1,1000000,250000,77895
1439,1/1/2016,14505899,Broker A,5500,0.1,1000000,250000,60500
1460,1/1/2016,10363793,Broker A,5500,0.1,1000000,250000,60500
1470,1/1/2016,14927023,Broker A,5500,0.1,1000000,250000,60500
1477,1/1/2016,4799136,Broker A,4781,0.1,500000,100000,52600
1486,1/1/2016,13758076,Broker A,6575,0.1,1000000,250000,72325
1537,1/1/2016,9105345,Broker A,4000,0.1,500000,100000,44000
1540,1/1/2016,9855550,Broker A,4639,0.1,500000,100000,51036
1544,1/1/2016,9926420,Broker A,4440,0.1,500000,100000,48840
1558,1/1/2016,16263759,Broker A,8000,0.1,1500000,500000,88000
1559,1/1/2016,3427285,Broker A,4928,0.1,500000,100000,54212
1571,1/1/2016,14778404,Broker A,7097,0.1,1000000,250000,78073
1573,1/1/2016,8792030,Broker A,4440,0.1,500000,100000,48840
1582,1/1/2016,10998138,Broker A,5500,0.1,1000000,250000,60500
1589,1/1/2016,16276276,Broker A,6379,0.1,1500000,500000,70175
1597,1/1/2016,11620384,Broker A,6379,0.1,1000000,250000,70175
1603,1/1/2016,11383709,Broker A,6105,0.1,1000000,250000,67155
1613,1/1/2016,7538011,Broker A,5150,0.1,500000,100000,56650
1617,1/1/2016,13275355,Broker A,5500,0.1,1000000,250000,60500
1642,1/1/2016,16700642,Broker A,8000,0.1,1500000,500000,88000
1657,1/1/2016,2037825,Broker A,4440,0.1,500000,100000,48840
1662,1/1/2016,14033580,Broker A,5500,0.1,1000000,250000,60500
1669,1/1/2016,13222534,Broker A,5500,0.1,1000000,250000,60500
1673,1/1/2016,10018513,Broker A,4308,0.1,1000000,250000,47388
1678,1/1/2016,9166887,Broker A,4000,0.1,500000,100000,44000
1680,1/1/2016,1098136,Broker A,4000,0.1,500000,100000,44000
1686,1/1/2016,14182841,Broker A,5500,0.1,1000000,250000,60500
1692,1/1/2016,5143718,Broker A,4000,0.1,500000,100000,44000
1702,1/1/2016,15991027,Broker A,8000,0.1,1500000,500000,88000
1721,1/1/2016,4815036,Broker A,4000,0.1,500000,100000,44000
1731,1/1/2016,13987618,Broker A,5500,0.1,1000000,250000,60500
1734,1/1/2016,13791452,Broker A,5923,0.1,1000000,250000,65158
1740,1/1/2016,12780101,Broker A,5923,0.1,1000000,250000,65158
1746,1/1/2016,16688656,Broker A,8000,0.1,1500000,500000,88000
1751,1/1/2016,16383407,Broker A,8000,0.1,1500000,500000,88000
1758,1/1/2016,17227572,Broker A,8000,0.1,1500000,500000,88000
1763,1/1/2016,9852140,Broker A,5320,0.1,500000,100000,58520
1770,1/1/2016,1666250,Broker A,4308,0.1,500000,100000,47388
1781,1/1/2016,4884519,Broker A,4308,0.1,500000,100000,47388
1785,1/1/2016,19511091,Broker A,8000,0.1,1500000,500000,88000
1789,1/1/2016,25361850,Broker A,10640,0.1,2000000,1000000,117040
1800,1/1/2016,16613664,Broker A,6105,0.1,1500000,500000,67155
1802,1/1/2016,2112536,Broker A,4308,0.1,500000,100000,47388
1803,1/1/2016,7558756,Broker A,4000,0.1,500000,100000,44000
1820,1/1/2016,16042130,Broker A,8000,0.1,1500000,500000,88000
1827,1/1/2016,2003043,Broker A,4000,0.1,500000,100000,44000
1848,1/1/2016,5395619,Broker A,5150,0.1,500000,100000,56650
1853,1/1/2016,19860211,Broker A,8000,0.1,1500000,500000,88000
1858,1/1/2016,1177411,Broker A,4000,0.1,500000,100000,44000
1877,1/1/2016,10389295,Broker A,5500,0.1,1000000,250000,60500
1881,1/1/2016,15663250,Broker A,8000,0.1,1500000,500000,88000
1883,1/1/2016,3174682,Broker A,4308,0.1,500000,100000,47388
1911,1/1/2016,5879976,Broker A,4000,0.1,500000,100000,44000
1922,1/1/2016,24683965,Broker A,10664,0.1,2000000,1000000,117308
1953,1/1/2016,11938343,Broker A,5923,0.1,1000000,250000,65158
1969,1/1/2016,2789965,Broker A,4639,0.1,500000,100000,51036
1980,1/1/2016,6827524,Broker A,4308,0.1,500000,100000,47388
1991,1/1/2016,10822412,Broker A,5307,0.1,1000000,250000,58386
1992,1/1/2016,22892313,Broker A,9563,0.1,2000000,1000000,105201
1997,1/1/2016,9653658,Broker A,4781,0.1,500000,100000,52600
1999,1/1/2016,7705404,Broker A,4000,0.1,500000,100000,44000
2002,1/1/2016,12194081,Broker A,5500,0.1,1000000,250000,60500
2004,1/1/2016,1099226,Broker A,4000,0.1,500000,100000,44000
2007,1/1/2016,2192726,Broker A,4781,0.1,500000,100000,52600
2023,1/1/2016,3489843,Broker A,4000,0.1,500000,100000,44000
2024,1/1/2016,11129473,Broker A,5923,0.1,1000000,250000,65158
2026,1/1/2016,11613219,Broker A,5500,0.1,1000000,250000,60500
2038,1/1/2016,18586130,Broker A,8000,0.1,1500000,500000,88000
2054,1/1/2016,4355726,Broker A,4639,0.1,500000,100000,51036
2056,1/1/2016,11989395,Broker A,5500,0.1,1000000,250000,60500
2069,1/1/2016,3637263,Broker A,4000,0.1,500000,100000,44000
2079,1/1/2016,21311797,Broker A,8616,0.1,2000000,1000000,94776
2087,1/1/2016,16875716,Broker A,8000,0.1,1500000,500000,88000
2118,1/1/2016,10622385,Broker A,5500,0.1,1000000,250000,60500
2135,1/1/2016,12440825,Broker A,5500,0.1,1000000,250000,60500
2145,1/1/2016,14562311,Broker A,5500,0.1,1000000,250000,60500
2148,1/1/2016,5610424,Broker A,5150,0.1,500000,100000,56650
2153,1/1/2016,3904338,Broker A,4308,0.1,500000,100000,47388
2180,1/1/2016,11734362,Broker A,5500,0.1,1000000,250000,60500
2184,1/1/2016,2224364,Broker A,4308,0.1,500000,100000,47388
2192,1/1/2016,5744664,Broker A,5150,0.1,500000,100000,56650
2205,1/1/2016,13351908,Broker A,4996,0.1,1000000,250000,54966
2210,1/1/2016,10213871,Broker A,5150,0.1,1000000,250000,56650
2222,1/1/2016,9791357,Broker A,4000,0.1,500000,100000,44000
2228,1/1/2016,19887742,Broker A,8000,0.1,1500000,500000,88000
2229,1/1/2016,7017465,Broker A,4639,0.1,500000,100000,51036
2235,1/1/2016,3308340,Broker A,4781,0.1,500000,100000,52600
2237,1/1/2016,7327706,Broker A,4308,0.1,500000,100000,47388
2240,1/1/2016,18222838,Broker A,8000,0.1,1500000,500000,88000
2250,1/1/2016,19044724,Broker A,8000,0.1,1500000,500000,88000
2252,1/1/2016,19854278,Broker A,8616,0.1,1500000,500000,94776
2277,1/1/2016,17278638,Broker A,8616,0.1,1500000,500000,94776
2289,1/1/2016,14686994,Broker A,5500,0.1,1000000,250000,60500
2291,1/1/2016,16248992,Broker A,8000,0.1,1500000,500000,88000
2316,1/1/2016,6346511,Broker A,4308,0.1,500000,100000,47388
2326,1/1/2016,14419544,Broker A,5500,0.1,1000000,250000,60500
2330,1/1/2016,1826193,Broker A,4000,0.1,500000,100000,44000
2341,1/1/2016,3241842,Broker A,4308,0.1,500000,100000,47388
2342,1/1/2016,11236287,Broker A,6379,0.1,1000000,250000,70175
2358,1/1/2016,17407280,Broker A,8000,0.1,1500000,500000,88000
2370,1/1/2016,2440850,Broker A,4996,0.1,500000,100000,54966
2386,1/1/2016,3778825,Broker A,4000,0.1,500000,100000,44000
2391,1/1/2016,11508269,Broker A,5500,0.1,1000000,250000,60500
2408,1/1/2016,6149763,Broker A,4308,0.1,500000,100000,47388
2411,1/1/2016,8535427,Broker A,4308,0.1,500000,100000,47388
2432,1/1/2016,19378182,Broker A,7081,0.1,1500000,500000,77895
2433,1/1/2016,8602567,Broker A,4996,0.1,500000,100000,54966
2435,1/1/2016,16795514,Broker A,8000,0.1,1500000,500000,88000
2436,1/1/2016,14656908,Broker A,5500,0.1,1000000,250000,60500
2437,1/1/2016,12525833,Broker A,5923,0.1,1000000,250000,65158
2439,1/1/2016,18441296,Broker A,8616,0.1,1500000,500000,94776
2440,1/1/2016,2085201,Broker A,4000,0.1,500000,100000,44000
2451,1/1/2016,12401698,Broker A,5923,0.1,1000000,250000,65158
2457,1/1/2016,15094533,Broker A,8000,0.1,1500000,500000,88000
2469,1/1/2016,7650724,Broker A,4000,0.1,500000,100000,44000
2492,1/1/2016,15751171,Broker A,8000,0.1,1500000,500000,88000
2508,1/1/2016,2921798,Broker A,4000,0.1,500000,100000,44000
2514,1/1/2016,7517529,Broker A,4781,0.1,500000,100000,52600
2515,1/1/2016,11062420,Broker A,5500,0.1,1000000,250000,60500
2520,1/1/2016,1364082,Broker A,4308,0.1,500000,100000,47388
2522,1/1/2016,24987663,Broker A,10640,0.1,2000000,1000000,117040
2540,1/1/2016,17398887,Broker A,8000,0.1,1500000,500000,88000
2543,1/1/2016,7499218,Broker A,4000,0.1,500000,100000,44000
2551,1/1/2016,7562498,Broker A,4000,0.1,500000,100000,44000
2556,1/1/2016,18906278,Broker A,8000,0.1,1500000,500000,88000
2578,1/1/2016,8875864,Broker A,4308,0.1,500000,100000,47388
2584,1/1/2016,12303794,Broker A,5500,0.1,1000000,250000,60500
2585,1/1/2016,15842862,Broker A,8000,0.1,1500000,500000,88000
2586,1/1/2016,10871165,Broker A,4996,0.1,1000000,250000,54966
2602,1/1/2016,13910499,Broker A,5307,0.1,1000000,250000,58386
2614,1/1/2016,12929375,Broker A,5500,0.1,1000000,250000,60500
2616,1/1/2016,14137498,Broker A,5500,0.1,1000000,250000,60500
2621,1/1/2016,4945844,Broker A,4000,0.1,500000,100000,44000
2631,1/1/2016,16255468,Broker A,8000,0.1,1500000,500000,88000
2638,1/1/2016,4371898,Broker A,4000,0.1,500000,100000,44000
2670,1/1/2016,15040487,Broker A,6105,0.1,1500000,500000,67155
2671,1/1/2016,2365567,Broker A,4308,0.1,500000,100000,47388
2687,1/1/2016,14661238,Broker A,5500,0.1,1000000,250000,60500
2707,1/1/2016,13032284,Broker A,5500,0.1,1000000,250000,60500
2730,1/1/2016,13841205,Broker A,5500,0.1,1000000,250000,60500
2743,1/1/2016,17241658,Broker A,8616,0.1,1500000,500000,94776
2748,1/1/2016,15228759,Broker A,6379,0.1,1500000,500000,70175
2754,1/1/2016,3770562,Broker A,4639,0.1,500000,100000,51036
2772,1/1/2016,17738193,Broker A,8000,0.1,1500000,500000,88000
2782,1/1/2016,3629732,Broker A,4000,0.1,500000,100000,44000
2793,1/1/2016,11158484,Broker A,5500,0.1,1000000,250000,60500
2810,1/1/2016,7134732,Broker A,4000,0.1,500000,100000,44000
2811,1/1/2016,14682690,Broker A,6105,0.1,1000000,250000,67155
2812,1/1/2016,12689110,Broker A,7081,0.1,1000000,250000,77895
2857,1/1/2016,10472731,Broker A,5500,0.1,1000000,250000,60500
2862,1/1/2016,18353491,Broker A,8880,0.1,1500000,500000,97680
2877,1/1/2016,14504836,Broker A,5923,0.1,1000000,250000,65158
2880,1/1/2016,1001899,Broker A,4000,0.1,500000,100000,44000
2899,1/1/2016,10800323,Broker A,4639,0.1,1000000,250000,51036
2904,1/1/2016,12537389,Broker A,5500,0.1,1000000,250000,60500
2907,1/1/2016,5207183,Broker A,4000,0.1,500000,100000,44000
2911,1/1/2016,14438183,Broker A,5500,0.1,1000000,250000,60500
2934,1/1/2016,13232200,Broker A,5923,0.1,1000000,250000,65158
2935,1/1/2016,14539312,Broker A,5500,0.1,1000000,250000,60500
2937,1/1/2016,7464738,Broker A,4440,0.1,500000,100000,48840
2951,1/1/2016,20345439,Broker A,8616,0.1,2000000,1000000,94776
2959,1/1/2016,14819487,Broker A,7081,0.1,1000000,250000,77895
2960,1/1/2016,7160812,Broker A,4308,0.1,500000,100000,47388
2963,1/1/2016,17845734,Broker A,6776,0.1,1500000,500000,74542
2969,1/1/2016,24889659,Broker A,9993,0.1,2000000,1000000,109933
2979,1/1/2016,10525536,Broker A,5500,0.1,1000000,250000,60500
2993,1/1/2016,3908178,Broker A,4000,0.1,500000,100000,44000
2998,1/1/2016,11962285,Broker A,5500,0.1,1000000,250000,60500
2,1/1/2016,18057138,Broker B,3645,0.05,1500000,500000,76558
3,1/1/2016,5439241,Broker B,2000,0.05,500000,100000,42000
21,1/1/2016,11356936,Broker B,2952,0.05,1000000,250000,61994
23,1/1/2016,20602586,Broker B,4980,0.05,2000000,1000000,104595
29,1/1/2016,5945435,Broker B,2000,0.05,500000,100000,42000
31,1/1/2016,17113962,Broker B,4294,0.05,1500000,500000,90174
37,1/1/2016,5854676,Broker B,2000,0.05,500000,100000,42000
50,1/1/2016,2240084,Broker B,2563,0.05,500000,100000,53832
52,1/1/2016,6128586,Broker B,2312,0.05,500000,100000,48558
54,1/1/2016,5670918,Broker B,2312,0.05,500000,100000,48558
62,1/1/2016,20539763,Broker B,4980,0.05,2000000,1000000,104595
63,1/1/2016,5968740,Broker B,2651,0.05,500000,100000,55678
67,1/1/2016,6807987,Broker B,2000,0.05,500000,100000,42000
69,1/1/2016,15548573,Broker B,3537,0.05,1500000,500000,74282
72,1/1/2016,13175308,Broker B,2750,0.05,1000000,250000,57750
73,1/1/2016,15966674,Broker B,3637,0.05,1500000,500000,76383
79,1/1/2016,17487877,Broker B,4294,0.05,1500000,500000,90174
81,1/1/2016,12993035,Broker B,2750,0.05,1000000,250000,57750
83,1/1/2016,24495134,Broker B,5126,0.05,2000000,1000000,107664
89,1/1/2016,18362836,Broker B,4760,0.05,1500000,500000,99967
90,1/1/2016,22808314,Broker B,5145,0.05,2000000,1000000,108047
93,1/1/2016,17636069,Broker B,3529,0.05,1500000,500000,74112
99,1/1/2016,18728045,Broker B,4000,0.05,1500000,500000,84000
113,1/1/2016,20980094,Broker B,3641,0.05,2000000,1000000,76462
128,1/1/2016,3141899,Broker B,2312,0.05,500000,100000,48558
129,1/1/2016,17038748,Broker B,3645,0.05,1500000,500000,76558
131,1/1/2016,11445264,Broker B,2563,0.05,1000000,250000,53832
132,1/1/2016,14844730,Broker B,2750,0.05,1000000,250000,57750
140,1/1/2016,20103967,Broker B,4294,0.05,2000000,1000000,90174
143,1/1/2016,16778345,Broker B,3641,0.05,1500000,500000,76462
147,1/1/2016,18830908,Broker B,4624,0.05,1500000,500000,97117
148,1/1/2016,3884650,Broker B,2000,0.05,500000,100000,42000
155,1/1/2016,9732333,Broker B,2000,0.05,500000,100000,42000
157,1/1/2016,11186262,Broker B,3179,0.05,1000000,250000,66768
169,1/1/2016,8633642,Broker B,2000,0.05,500000,100000,42000
170,1/1/2016,10861975,Broker B,2572,0.05,1000000,250000,54023
171,1/1/2016,9583437,Broker B,2000,0.05,500000,100000,42000
172,1/1/2016,3958274,Broker B,2383,0.05,500000,100000,50046
173,1/1/2016,3971890,Broker B,2572,0.05,500000,100000,54023
179,1/1/2016,2074375,Broker B,2147,0.05,500000,100000,45087
185,1/1/2016,2627396,Broker B,2147,0.05,500000,100000,45087
186,1/1/2016,14102007,Broker B,2952,0.05,1000000,250000,61994
188,1/1/2016,14306181,Broker B,3424,0.05,1000000,250000,71909
190,1/1/2016,6997776,Broker B,2312,0.05,500000,100000,48558
191,1/1/2016,19245215,Broker B,3524,0.05,1500000,500000,74019
196,1/1/2016,12759453,Broker B,2952,0.05,1000000,250000,61994
202,1/1/2016,2965460,Broker B,2000,0.05,500000,100000,42000
206,1/1/2016,4784083,Broker B,2490,0.05,500000,100000,52297
208,1/1/2016,2499955,Broker B,2490,0.05,500000,100000,52297
215,1/1/2016,6477679,Broker B,2490,0.05,500000,100000,52297
221,1/1/2016,5682799,Broker B,2147,0.05,500000,100000,45087
223,1/1/2016,15081446,Broker B,3424,0.05,1500000,500000,71909
225,1/1/2016,18958294,Broker B,5126,0.05,1500000,500000,107664
233,1/1/2016,3083210,Broker B,2490,0.05,500000,100000,52297
236,1/1/2016,11531060,Broker B,2572,0.05,1000000,250000,54023
243,1/1/2016,9766076,Broker B,2000,0.05,500000,100000,42000
245,1/1/2016,15470494,Broker B,3637,0.05,1500000,500000,76383
249,1/1/2016,11257103,Broker B,2952,0.05,1000000,250000,61994
252,1/1/2016,7989013,Broker B,2490,0.05,500000,100000,52297
263,1/1/2016,6660241,Broker B,2380,0.05,500000,100000,49983
264,1/1/2016,18249503,Broker B,4420,0.05,1500000,500000,92820
265,1/1/2016,3573159,Broker B,2210,0.05,500000,100000,46410
278,1/1/2016,6562261,Broker B,2147,0.05,500000,100000,45087
